date,activity,index,Activity,weekend
2020-04-22,Workplace,-0.44,Workplace,FALSE
2020-04-22,Residential,0.17,Residential,FALSE
2020-04-23,Retail and Recreation,-0.315,Retail and Recreation,FALSE
2020-04-23,Workplace,-0.45,Workplace,FALSE
2020-04-23,Residential,0.19,Residential,FALSE
2020-04-24,Retail and Recreation,-0.3,Retail and Recreation,FALSE
2020-04-24,Workplace,-0.45,Workplace,FALSE
2020-04-24,Residential,0.18,Residential,FALSE
2020-04-25,Retail and Recreation,-0.41,Retail and Recreation,TRUE
2020-04-25,Workplace,-0.32,Workplace,TRUE
2020-04-25,Residential,0.12,Residential,TRUE
2020-04-26,Retail and Recreation,-0.33,Retail and Recreation,TRUE
2020-04-26,Workplace,-0.34,Workplace,TRUE
2020-04-26,Residential,0.09,Residential,TRUE
2020-04-27,Retail and Recreation,-0.17,Retail and Recreation,FALSE
2020-04-27,Workplace,-0.41,Workplace,FALSE
2020-04-27,Residential,0.15,Residential,FALSE
2020-04-28,Retail and Recreation,-0.165,Retail and Recreation,FALSE
2020-04-28,Workplace,-0.42,Workplace,FALSE
2020-04-28,Residential,0.1,Residential,FALSE
2020-04-29,Retail and Recreation,-0.23,Retail and Recreation,FALSE
2020-04-29,Workplace,-0.43,Workplace,FALSE
2020-04-29,Residential,0.18,Residential,FALSE
2020-04-30,Retail and Recreation,-0.24,Retail and Recreation,FALSE
2020-04-30,Workplace,-0.42,Workplace,FALSE
2020-04-30,Residential,0.18,Residential,FALSE
2020-05-01,Retail and Recreation,-0.21,Retail and Recreation,FALSE
2020-05-01,Workplace,-0.42,Workplace,FALSE
2020-05-01,Residential,0.16,Residential,FALSE
2020-05-02,Retail and Recreation,-0.26,Retail and Recreation,TRUE
2020-05-02,Workplace,-0.28,Workplace,TRUE
2020-05-02,Residential,0.06,Residential,TRUE
2020-05-03,Retail and Recreation,-0.27,Retail and Recreation,TRUE
2020-05-03,Workplace,-0.3,Workplace,TRUE
2020-05-03,Residential,0.07,Residential,TRUE
2020-05-04,Retail and Recreation,-0.08,Retail and Recreation,FALSE
2020-05-04,Workplace,-0.38,Workplace,FALSE
2020-05-04,Residential,0.13,Residential,FALSE
2020-05-05,Retail and Recreation,-0.17,Retail and Recreation,FALSE
2020-05-05,Workplace,-0.385,Workplace,FALSE
2020-05-05,Residential,0.155,Residential,FALSE
2020-05-06,Retail and Recreation,-0.12,Retail and Recreation,FALSE
2020-05-06,Workplace,-0.38,Workplace,FALSE
2020-05-06,Residential,0.14,Residential,FALSE
2020-05-07,Retail and Recreation,-0.15,Retail and Recreation,FALSE
2020-05-07,Workplace,-0.38,Workplace,FALSE
2020-05-07,Residential,0.14,Residential,FALSE
2020-05-08,Retail and Recreation,-0.23,Retail and Recreation,FALSE
2020-05-08,Workplace,-0.385,Workplace,FALSE
2020-05-08,Residential,0.17,Residential,FALSE
2020-05-09,Retail and Recreation,-0.2,Retail and Recreation,TRUE
2020-05-09,Workplace,-0.24,Workplace,TRUE
2020-05-09,Residential,0.07,Residential,TRUE
2020-05-10,Retail and Recreation,-0.26,Retail and Recreation,TRUE
2020-05-10,Workplace,-0.28,Workplace,TRUE
2020-05-10,Residential,0.06,Residential,TRUE
2020-05-11,Retail and Recreation,-0.12,Retail and Recreation,FALSE
2020-05-11,Workplace,-0.34,Workplace,FALSE
2020-05-11,Residential,0.13,Residential,FALSE
2020-05-12,Retail and Recreation,-0.07,Retail and Recreation,FALSE
2020-05-12,Workplace,-0.34,Workplace,FALSE
2020-05-12,Residential,0.13,Residential,FALSE
2020-05-13,Retail and Recreation,-0.06,Retail and Recreation,FALSE
2020-05-13,Workplace,-0.34,Workplace,FALSE
2020-05-13,Residential,0.13,Residential,FALSE
2020-05-14,Retail and Recreation,-0.11,Retail and Recreation,FALSE
2020-05-14,Workplace,-0.35,Workplace,FALSE
2020-05-14,Residential,0.12,Residential,FALSE
2020-05-15,Retail and Recreation,-0.13,Retail and Recreation,FALSE
2020-05-15,Workplace,-0.35,Workplace,FALSE
2020-05-15,Residential,0.14,Residential,FALSE
2020-05-16,Retail and Recreation,-0.14,Retail and Recreation,TRUE
2020-05-16,Workplace,-0.2,Workplace,TRUE
2020-05-16,Residential,0.05,Residential,TRUE
2020-05-17,Retail and Recreation,-0.185,Retail and Recreation,TRUE
2020-05-17,Workplace,-0.23,Workplace,TRUE
2020-05-17,Residential,0.07,Residential,TRUE
2020-05-18,Retail and Recreation,-0.065,Retail and Recreation,FALSE
2020-05-18,Workplace,-0.31,Workplace,FALSE
2020-05-18,Residential,0.12,Residential,FALSE
2020-05-19,Retail and Recreation,-0.07,Retail and Recreation,FALSE
2020-05-19,Workplace,-0.3,Workplace,FALSE
2020-05-19,Residential,0.12,Residential,FALSE
2020-05-20,Retail and Recreation,-0.05,Retail and Recreation,FALSE
2020-05-20,Workplace,-0.31,Workplace,FALSE
2020-05-20,Residential,0.11,Residential,FALSE
2020-05-21,Retail and Recreation,-0.04,Retail and Recreation,FALSE
2020-05-21,Workplace,-0.31,Workplace,FALSE
2020-05-21,Residential,0.11,Residential,FALSE
2020-05-22,Retail and Recreation,-0.06,Retail and Recreation,FALSE
2020-05-22,Workplace,-0.34,Workplace,FALSE
2020-05-22,Residential,0.1,Residential,FALSE
2020-05-23,Retail and Recreation,-0.13,Retail and Recreation,TRUE
2020-05-23,Workplace,-0.2,Workplace,TRUE
2020-05-23,Residential,0.04,Residential,TRUE
2020-05-24,Retail and Recreation,-0.07,Retail and Recreation,TRUE
2020-05-24,Workplace,-0.22,Workplace,TRUE
2020-05-24,Residential,0.02,Residential,TRUE
2020-05-25,Retail and Recreation,-0.055,Retail and Recreation,FALSE
2020-05-25,Workplace,-0.73,Workplace,FALSE
2020-05-25,Residential,0.19,Residential,FALSE
2020-05-26,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-05-26,Workplace,-0.29,Workplace,FALSE
2020-05-26,Residential,0.09,Residential,FALSE
2020-05-27,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-05-27,Workplace,-0.285,Workplace,FALSE
2020-05-27,Residential,0.09,Residential,FALSE
2020-05-28,Retail and Recreation,0,Retail and Recreation,FALSE
2020-05-28,Workplace,-0.28,Workplace,FALSE
2020-05-28,Residential,0.1,Residential,FALSE
2020-05-29,Retail and Recreation,-0.05,Retail and Recreation,FALSE
2020-05-29,Workplace,-0.29,Workplace,FALSE
2020-05-29,Residential,0.1,Residential,FALSE
2020-05-30,Retail and Recreation,-0.07,Retail and Recreation,TRUE
2020-05-30,Workplace,-0.095,Workplace,TRUE
2020-05-30,Residential,0.02,Residential,TRUE
2020-05-31,Retail and Recreation,-0.06,Retail and Recreation,TRUE
2020-05-31,Workplace,-0.12,Workplace,TRUE
2020-05-31,Residential,0.02,Residential,TRUE
2020-06-01,Retail and Recreation,0.045,Retail and Recreation,FALSE
2020-06-01,Workplace,-0.26,Workplace,FALSE
2020-06-01,Residential,0.07,Residential,FALSE
2020-06-02,Retail and Recreation,0.07,Retail and Recreation,FALSE
2020-06-02,Workplace,-0.27,Workplace,FALSE
2020-06-02,Residential,0.07,Residential,FALSE
2020-06-03,Retail and Recreation,0.04,Retail and Recreation,FALSE
2020-06-03,Workplace,-0.27,Workplace,FALSE
2020-06-03,Residential,0.07,Residential,FALSE
2020-06-04,Retail and Recreation,0,Retail and Recreation,FALSE
2020-06-04,Workplace,-0.265,Workplace,FALSE
2020-06-04,Residential,0.08,Residential,FALSE
2020-06-05,Retail and Recreation,-0.03,Retail and Recreation,FALSE
2020-06-05,Workplace,-0.28,Workplace,FALSE
2020-06-05,Residential,0.08,Residential,FALSE
2020-06-06,Retail and Recreation,-0.065,Retail and Recreation,TRUE
2020-06-06,Workplace,-0.11,Workplace,TRUE
2020-06-06,Residential,0.01,Residential,TRUE
2020-06-07,Retail and Recreation,-0.04,Retail and Recreation,TRUE
2020-06-07,Workplace,-0.13,Workplace,TRUE
2020-06-07,Residential,0.01,Residential,TRUE
2020-06-08,Retail and Recreation,0.04,Retail and Recreation,FALSE
2020-06-08,Workplace,-0.265,Workplace,FALSE
2020-06-08,Residential,0.07,Residential,FALSE
2020-06-09,Retail and Recreation,-0.015,Retail and Recreation,FALSE
2020-06-09,Workplace,-0.26,Workplace,FALSE
2020-06-09,Residential,0.08,Residential,FALSE
2020-06-10,Retail and Recreation,0.03,Retail and Recreation,FALSE
2020-06-10,Workplace,-0.25,Workplace,FALSE
2020-06-10,Residential,0.08,Residential,FALSE
2020-06-11,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-06-11,Workplace,-0.25,Workplace,FALSE
2020-06-11,Residential,0.06,Residential,FALSE
2020-06-12,Retail and Recreation,-0.01,Retail and Recreation,FALSE
2020-06-12,Workplace,-0.28,Workplace,FALSE
2020-06-12,Residential,0.06,Residential,FALSE
2020-06-13,Retail and Recreation,-0.06,Retail and Recreation,TRUE
2020-06-13,Workplace,-0.095,Workplace,TRUE
2020-06-13,Residential,0,Residential,TRUE
