end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Jul 25,70 to 79,50,335,450969,0.742844851863432
Jul 25,80 and older,28,190,253527,0.749427082717028
Aug 01,0 to 19,112,863,1752893,0.492328967027651
Aug 01,20 to 29,177,1149,930073,1.23538689973798
Aug 01,30 to 39,134,888,844497,1.05151350448847
Aug 01,40 to 49,115,883,815370,1.08294393956118
Aug 01,50 to 59,90,748,871660,0.858132758185531
Aug 01,60 to 69,82,541,772889,0.699971147215189
Aug 01,70 to 79,42,325,450969,0.720670378673479
Aug 01,80 and older,35,227,253527,0.895368146193502
Aug 08,0 to 19,158,1023,1752893,0.583606643417482
Aug 08,20 to 29,221,1342,930073,1.44289749299249
Aug 08,30 to 39,147,999,844497,1.18295269254953
Aug 08,40 to 49,150,969,815370,1.18841752823871
Aug 08,50 to 59,161,903,871660,1.0359543858844
Aug 08,60 to 69,108,684,772889,0.884991247126043
Aug 08,70 to 79,61,408,450969,0.90471850615009
Aug 08,80 and older,38,279,253527,1.10047450567395
Aug 15,0 to 19,140,1094,1752893,0.624111112315469
Aug 15,20 to 29,155,1305,930073,1.4031156694152
Aug 15,30 to 39,126,940,844497,1.11308861961617
Aug 15,40 to 49,100,854,815370,1.04737726430945
Aug 15,50 to 59,95,827,871660,0.94876442649657
Aug 15,60 to 69,84,647,772889,0.837118913582675
Aug 15,70 to 79,42,422,450969,0.935762768616025
Aug 15,80 and older,31,221,253527,0.871702027791912
Aug 22,0 to 19,129,1191,1752893,0.679448203626804
Aug 22,20 to 29,163,1454,930073,1.56331814814536
Aug 22,30 to 39,78,750,844497,0.888102622034181
Aug 22,40 to 49,90,797,815370,0.977470350883648
Aug 22,50 to 59,66,802,871660,0.920083518803203
Aug 22,60 to 69,71,561,772889,0.725848084265658
Aug 22,70 to 79,27,331,450969,0.733975062587451
Aug 22,80 and older,19,198,253527,0.780981907252482
Aug 29,0 to 19,199,1202,1752893,0.685723543878605
Aug 29,20 to 29,285,1790,930073,1.92458011360399
Aug 29,30 to 39,84,755,844497,0.894023306181076
Aug 29,40 to 49,92,754,815370,0.924733556544881
Aug 29,50 to 59,78,718,871660,0.823715668953491
Aug 29,60 to 69,65,555,772889,0.718085003150517
Aug 29,70 to 79,42,318,450969,0.705148247440511
Aug 29,80 and older,11,209,253527,0.824369790988731
Sep 05,0 to 19,156,1333,1752893,0.760457141422779
Sep 05,20 to 29,248,1796,930073,1.93103122013003
Sep 05,30 to 39,87,715,844497,0.846657833005919
Sep 05,40 to 49,116,820,815370,1.0056784036695
Sep 05,50 to 59,85,725,871660,0.831746323107634
