date,roll_mean_staff_short_perc,mean_mort_rate,roll_mean_admiss,skewness
Feb 22,0.0868183185736523,0.444702242846094,122,0.550724886930411
Feb 23,0.0857522204926289,0.444529456771232,102.428571428571,0.517745537727046
Feb 24,0.0883814930605518,0.432190760059613,78.4285714285714,0.521288518482844
Feb 25,0.0883814930605518,0.425367362722351,60.8571428571429,0.550602365872556
Feb 26,0.0883814930605518,0.455128205128205,53.5714285714286,0.526228441722964
Feb 27,0.0875050688712441,0.447563996696945,52,0.516819919478722
Feb 28,0.0866286446819365,0.431703204047218,47.1428571428571,0.506842587516826
Mar 01,0.0886423855016475,0.407534246575343,44.8571428571429,0.479960454183837
Mar 02,0.0854440912585771,0.39282250242483,44.8571428571429,0.497623909174894
Mar 03,0.0819383945013466,0.430379746835443,45.7142857142857,0.563210535670644
Mar 04,0.081061970312039,0.441724941724942,61.7142857142857,0.570843399391598
Mar 05,0.0775562735548085,0.470440251572327,60,0.569795321484126
Mar 06,0.0758034251761932,0.428940568475452,58.5714285714286,0.568267086439812
Mar 07,0.074050576797578,0.398184176394293,63,0.553272942836445
Mar 08,0.0699046398158201,0.37976346911958,63.8571428571429,0.56686458025305
Mar 09,0.0688385417347967,0.186834941846078,532.428571428572,0.765955970843892
Mar 10,0.067962117545489,0.188830453293263,524.714285714286,0.779255705018969
Mar 11,0.0670856933561814,0.184349134687735,507.857142857143,0.770817591382859
Mar 12,0.067962117545489,0.177794448612153,511.285714285714,0.766771565394466
Mar 13,0.0697149659241043,0.104723819045239,513,0.763864765705932
Mar 14,0.0705913901134119,0.105368289637953,509.142857142857,0.763901390364981
Mar 15,0.0685313359267726,0.101554663991976,505.857142857143,0.767709742439763
Mar 16,0.0675373798211568,0.0915934755332497,36.8571428571429,0.766390352286468
Mar 17,0.0684138040104644,0.104473881529618,46.8571428571429,0.761489976281832
Mar 18,0.069290228199772,0.11310861423221,64.2857142857143,0.758323307171687
Mar 19,0.0684138040104644,0.125205543810195,96.8571428571429,0.757969072266398
Mar 20,0.0675373798211568,0.134196332254585,149.142857142857,0.760294385053991
Mar 21,0.0657845314425415,0.138656280428432,224.428571428571,0.745996715905405
Mar 22,0.0657123894671339,0.144099528928615,676.857142857143,0.756396229871023
Mar 23,0.0656402474917263,0.13924550661663,686.428571428572,0.724690779985818
Mar 24,0.0647638233024187,0.143245869776482,688.142857142857,0.69566628674196
Mar 25,0.0630109749238034,0.140774836977369,680.571428571429,0.688143470615929
Mar 26,0.0638873991131111,0.138973384030418,654.571428571429,0.679637829370082
Mar 27,0.0647638233024187,0.189875799774181,610,0.673503965037203
Mar 28,0.0647638233024187,0.183914510686164,537.571428571429,0.667892239552027
Mar 29,0.0647638233024187,0.181293087385877,89.8571428571429,0.667408458462493
Mar 30,0.0658299213834421,0.187802156935664,81.8571428571429,0.66974205749574
Mar 31,0.0658299213834421,0.178931639895405,76.7142857142857,0.67061011167524
Apr 01,0.0667063455727498,0.165707923547968,89.2857142857143,0.65684527732872
Apr 02,0.0667063455727498,0.155401502021953,87.2857142857143,0.642786140895086
Apr 03,0.0658299213834421,0.146955624355005,82.1428571428571,0.619924610986053
Apr 04,0.0675827697620574,0.143021914648212,81.7142857142857,0.625447547662861
Apr 05,0.0675827697620574,0.122516556291391,82.7142857142857,0.325088020664331
Apr 06,0.0696202016502355,0.13838550247117,91.5714285714286,0.355753244185545
Apr 07,0.0696202016502355,0.113801452784504,100.285714285714,0.323201193799737
Apr 08,0.0696202016502355,0.119344773790952,93.8571428571429,0.345179736840344
Apr 09,0.0696202016502355,0.108712413261372,98,0.36035028468148
Apr 10,0.0696202016502355,0.1,113.571428571429,0.379119169996667
Apr 11,0.0696202016502355,0.101838755304102,120.285714285714,0.368518313767519
Apr 12,0.0724476791694717,0.10906612133606,126.857142857143,0.331724353545717
Apr 13,0.0723543084878657,0.113965744400527,125.285714285714,0.291494050372953
Apr 14,0.0714778842985581,0.112903225806452,121.142857142857,0.25268146007151
Apr 15,0.0714778842985581,0.109646079111728,112,0.281374109906862
Apr 16,0.0732307326771733,0.0926928281461434,113.142857142857,0.288857758042079
Apr 17,0.0749835810557886,0.0931147540983607,104.285714285714,0.292649545233977
Apr 18,0.0767364294344038,0.0945083014048531,103.428571428571,0.28314511381663
Apr 19,0.0749750499961911,0.0906816760475297,101.571428571429,0.290720082193879
Apr 20,0.0740970868706424,0.0949367088607595,100.428571428571,0.270493240386993
Apr 21,0.0740970868706424,0.0993548387096774,100.285714285714,0.289202209393553
Apr 22,0.0740970868706424,0.0983498349834984,104.428571428571,0.268349789991356
Apr 23,0.0732206626813348,0.100662251655629,102.571428571429,0.272939648324058
Apr 24,0.0740970868706424,0.0966850828729282,102.571428571429,0.280982875582009
Apr 25,0.0723442384920272,0.0954356846473029,103.142857142857,0.296079426094535
Apr 26,0.076608630816121,0.0947735191637631,103.428571428571,0.310648594759848
Apr 27,0.0775799646232757,0.0916666666666667,122.428571428571,0.316351145992501
Apr 28,0.0802092371911986,0.0830670926517572,123.285714285714,0.341544547816636
Apr 29,0.0819620855698138,0.0859375,115,0.32256880063453
Apr 30,0.0810856613805062,0.0987066031313819,107.285714285714,0.310345609573193
May 01,0.0793328130018909,0.0986800754242615,124.714285714286,0.294295109376107
May 02,0.076703540433968,0.0976714100905563,117.714285714286,0.288926067420305
May 03,0.0714451920042584,0.0946666666666667,110.857142857143,0.289103890173297
May 04,0.0704738581971037,0.112998040496408,96.2857142857143,0.294081172648704
